psme,X,Y
1,-122.284813,46.637348
1,-121.96514600000002,46.460229
1,-121.42960599999999,46.633582999999994
1,-121.744258,46.635497
1,-121.748047,46.565622000000005
1,-122.42252500000001,46.437753
1,-121.562067,46.702988999999995
1,-121.744966,46.484304
1,-121.611225,46.561027
1,-121.709899,46.635313
1,-121.783588,46.583305
1,-121.92564900000002,46.682675
1,-121.78482899999999,46.508312
1,-122.289287,46.71353
1,-122.49134699999999,46.745021
1,-121.92961299999999,46.419082
1,-121.64623500000002,46.162791
1,-121.91439900000002,45.807759
1,-121.541104,46.379145
1,-122.17514700000001,45.991344
1,-121.71129500000002,46.334976
1,-121.800413,45.920109000000004
1,-122.07930300000001,46.24829100000001
1,-122.014075,46.092194
1,-121.79923700000002,45.871825
1,-122.01317700000001,46.146962
1,-122.22193300000002,46.144583
1,-122.03106800000002,46.293843
1,-121.72666600000001,46.169115
1,-121.60732899999999,46.359912
1,-121.72059900000001,46.087948
1,-121.78664299999998,46.212511
1,-121.896464,46.340557
1,-122.082441,46.148017
1,-121.973796,45.996482
1,-121.74810300000001,45.713024
1,-121.860699,46.142199
1,-121.82264500000001,46.196883
1,-122.143241,45.947594
1,-121.90795099999998,45.827688
1,-121.68182000000002,46.344395
1,-121.76087800000002,46.267683000000005
1,-121.86161600000001,46.042503
1,-121.85792,46.286809
1,-122.088439,45.851769
1,-121.72921500000001,45.91470700000001
1,-121.827966,46.311762
1,-122.04473500000002,46.317141
1,-121.97039700000002,46.067427
1,-122.09017800000001,45.674212
1,-121.83643500000001,46.11480300000001
1,-122.11805500000001,45.848567
1,-121.53787400000002,46.360295
1,-121.39830200000002,46.529886
1,-121.306085,47.07204300000001
1,-121.82080400000001,47.257830000000006
1,-121.712739,47.3765
1,-121.483752,47.14850700000001
1,-121.85429000000002,47.430668
1,-121.649442,47.23327299999999
1,-121.47900500000002,47.28844200000001
1,-121.895696,46.86886899999999
1,-121.58642000000002,47.075755
1,-121.808113,47.078087
1,-122.119714,46.912603
1,-121.962584,47.05818200000001
1,-121.69653600000001,47.073143
1,-121.932326,46.88442500000001
1,-121.87150700000001,46.896665000000006
1,-121.740442,47.083279
1,-121.595935,46.914944
1,-121.703144,47.050584
1,-122.11099100000001,47.06100599999999
1,-122.79684900000001,46.838706
1,-122.64551099999998,46.836834
1,-122.276874,45.902948
1,-122.28311800000002,45.648909
1,-122.40929600000001,45.84996
1,-122.25932000000002,45.75221100000001
1,-122.35739299999999,46.239740000000005
1,-122.63572800000001,46.045444
1,-122.482538,46.189625
1,-122.493697,46.348749
1,-122.83194700000001,46.146103
1,-122.29832,46.073035
1,-122.416346,46.545707
1,-121.825011,46.390685
1,-121.887079,46.708529
1,-122.36549399999998,46.400794000000005
1,-122.00170499999999,46.392808
1,-122.078292,46.739577
1,-122.440878,46.741384
1,-122.058664,46.586024
1,-121.52798800000001,46.456344
1,-122.582745,46.659124999999996
1,-122.037492,46.43973100000001
1,-121.687429,46.433494
1,-121.78325800000002,46.683904000000005
1,-122.212481,46.535539
1,-121.468141,46.432072
1,-121.71726500000001,46.58762900000001
1,-121.91450199999998,46.733238
1,-121.531461,46.413244
1,-122.285096,46.668424
1,-122.35724200000001,46.689131
1,-121.536036,46.655204000000005
1,-121.534405,46.582838
1,-121.89342700000002,46.163404
1,-121.693502,46.114023
1,-121.905649,45.947463
1,-121.690814,46.286683000000004
1,-121.728207,45.968704
1,-121.751491,46.38301200000001
1,-121.82679700000001,46.241692
1,-121.91032799999999,45.785533
1,-121.829771,46.214622
1,-121.963107,46.36287999999999
1,-121.93455800000001,46.166367
1,-122.083054,45.821975
1,-121.61977500000002,46.136293
1,-121.726175,46.117274
1,-121.686109,46.21553200000001
1,-121.97386600000002,46.089006
1,-122.004493,46.26792
1,-121.90145099999998,46.06436300000001
1,-122.19599200000002,45.823335
1,-121.765719,45.89590400000001
1,-122.12952200000001,46.047627000000006
1,-121.975363,46.267641000000005
1,-121.688965,45.75134400000001
1,-121.935361,46.192170000000004
1,-121.79660499999999,46.312004
1,-122.11666200000002,45.900687
1,-121.647243,46.360011
1,-122.05900900000002,45.702986
1,-121.858223,46.166449
1,-121.18566800000002,47.17437000000001
1,-121.31063999999999,47.171215
1,-121.263998,47.100561
1,-121.13046600000001,47.09425
1,-121.157479,47.098694
1,-121.23394,46.773377
1,-121.42181799999999,46.904953000000006
1,-121.32565500000001,46.599472
1,-121.635134,47.279041
1,-121.51545400000002,47.172771
1,-121.83011100000002,47.46076600000001
1,-121.376011,47.245628
1,-121.43882000000002,47.176318
1,-121.78362800000001,47.27956
1,-121.596229,47.195154
1,-121.478295,47.176404
1,-121.58565500000002,47.101220999999995
1,-121.477966,47.097607000000004
1,-122.10496500000001,46.957599
1,-122.05267000000002,46.787612
1,-121.557801,47.05154600000001
1,-121.78028900000001,47.13301899999999
1,-121.55526199999998,47.028078
1,-121.915172,47.009159
1,-121.624442,46.99897800000001
1,-122.582682,46.786138
1,-122.27381300000002,45.951845
1,-122.41806699999998,45.807955
1,-122.64279900000001,46.345293
1,-122.29252700000002,46.11955700000001
1,-122.328791,46.298337
1,-122.494116,46.290693
1,-122.248339,46.125528
1,-122.63016800000001,46.092281
1,-122.48626100000001,46.141969
1,-122.139857,46.485797
1,-121.93428800000001,46.58171999999999
1,-121.994053,46.441697
1,-121.709713,46.432696
1,-122.579696,46.397482
1,-121.68057800000001,46.48646800000001
1,-122.011798,46.415687999999996
1,-121.522975,46.709869999999995
1,-122.10921600000002,46.498342
1,-122.495852,46.645078
1,-122.284537,46.757563
1,-121.60178799999998,46.510507
1,-122.068459,46.49638800000001
1,-121.71510599999999,46.661046000000006
1,-122.39543099999999,46.758728
1,-122.21544500000002,46.631241
1,-122.575567,46.627664
1,-121.68190400000002,46.457677
1,-121.851446,46.467803
1,-121.69700399999999,45.71805100000001
1,-122.18545100000001,45.619091
1,-122.009657,45.993339
1,-121.969756,46.145049
1,-122.188896,45.803081
1,-121.793756,45.796971
1,-121.89921600000001,45.99797499999999
1,-121.606307,46.312212
1,-122.194688,45.730866
1,-121.94573200000002,45.921516999999994
1,-121.64654,46.309347
1,-122.012196,45.94561100000001
1,-122.00729199999999,45.967295
1,-121.870959,45.873608000000004
1,-121.864478,45.827309
1,-121.94123800000001,46.07333200000001
1,-121.96923100000001,45.87025400000001
1,-121.75566999999998,46.188622
1,-122.054843,45.998729000000004
1,-121.79260000000001,46.36999899999999
1,-122.007879,46.367151
1,-121.978585,45.826012000000006
1,-121.902115,45.801354999999994
1,-121.863182,46.219725000000004
1,-121.76133800000001,46.042285
1,-121.641121,46.337395
1,-121.935322,45.993057
1,-121.942906,45.804056
1,-121.761915,45.965479
1,-122.02260500000001,45.688126000000004
1,-121.997488,46.317889
1,-122.047455,45.84745099999999
1,-121.96068599999998,46.29102
1,-121.72185500000002,46.235091999999995
1,-121.78420200000001,46.263532
1,-121.69378,45.9721
1,-121.832059,45.825544
1,-122.179104,46.12446800000001
1,-121.89745699999999,46.363044
1,-121.61541899999999,46.33651
1,-122.003171,46.011772
1,-121.23880900000002,47.225224
1,-121.46009000000001,46.37874
1,-121.38662999999998,46.826766
1,-121.27616500000002,47.047797
1,-121.591007,47.246734
1,-121.76764000000001,47.267673
1,-121.42315400000001,47.284061
1,-121.857631,47.179628
1,-121.92856,47.224055
1,-121.78742800000002,47.42612
1,-121.59367800000001,47.05124200000001
1,-122.082496,47.07553
1,-122.25335,46.857481
1,-121.75913300000002,47.10258300000001
1,-122.183029,46.860393
1,-121.69325400000001,46.951516
1,-121.487734,46.976011
1,-121.81706899999999,47.005083
1,-121.630321,47.027029
1,-121.52809800000001,46.905561
1,-122.039275,46.909922
1,-121.521546,47.075269999999996
1,-122.73399,46.860579
1,-122.41099799999999,45.74844300000001
1,-122.344118,45.85157499999999
1,-122.34970000000001,45.710738
1,-122.715409,46.146429
1,-122.36055700000001,46.171744999999994
1,-122.42532000000001,46.18884700000001
1,-122.255575,46.072556999999996
1,-122.40590300000001,46.0195
1,-122.45878499999999,46.347743
1,-122.769292,46.089581
1,-122.76568400000001,46.147346
1,-122.256599,46.09644099999999
1,-122.765599,45.999219
1,-122.62909900000001,46.197678
1,-122.32272600000002,46.273508
1,-122.24974900000001,46.250253
1,-121.89194000000002,46.562085
1,-121.426627,46.434054999999994
1,-121.819805,46.562515
1,-121.63826,46.642339
1,-122.365535,46.72867099999999
1,-121.856766,46.53717
1,-121.908371,46.502594
1,-121.75256400000002,46.412966
1,-121.859855,46.389427000000005
1,-121.57463300000002,46.410887
1,-122.72003400000001,46.687559
1,-121.81329799999999,46.730916
1,-122.00362300000002,46.741921000000005
1,-122.16170500000001,46.683425
1,-122.28623200000001,46.386773
1,-122.137868,46.536702
1,-121.568825,46.63238400000001
1,-121.614894,46.437913
1,-122.110701,46.386496
1,-122.53582800000001,46.656865
1,-121.967734,46.44147999999999
1,-121.92666200000001,46.611643
1,-122.2212,46.393563
1,-121.98848,46.591553
1,-121.63967200000002,46.657906000000004
1,-121.61022,46.411325
1,-121.85469500000002,46.635603
1,-121.83849100000002,45.941355
1,-121.936242,46.269456
1,-121.835836,45.79993699999999
1,-121.902415,46.092743
1,-121.65486400000002,46.042496
